state_fips,county_fips,poverty_all_pct,child_poverty_pct,median_income,county,year
37,41,18.9,31.3,41151,Chowan,2016
37,43,15.3,27.5,37581,Clay,2016
37,45,20.6,27.7,38654,Cleveland,2016
37,47,24.6,35.9,35290,Columbus,2016
37,49,15.3,22.7,49524,Craven,2016
37,51,18.8,27.2,45286,Cumberland,2016
37,53,10.2,15.7,57570,Currituck,2016
37,55,10.9,17.6,56371,Dare,2016
37,57,15.4,22.0,46263,Davidson,2016
37,59,11.6,17.4,54189,Davie,2016
37,61,21.3,31.0,38771,Duplin,2016
37,63,16.1,23.7,54255,Durham,2016
37,65,23.9,36.2,34612,Edgecombe,2016
37,67,17.5,24.5,48987,Forsyth,2016
37,69,15.3,21.5,49484,Franklin,2016
37,71,15.7,23.2,48874,Gaston,2016
37,73,15.2,22.3,45755,Gates,2016
37,75,19.9,30.7,35763,Graham,2016
37,77,15.2,20.9,50414,Granville,2016
37,79,23.7,32.5,39738,Greene,2016
37,81,18.3,25.6,47754,Guilford,2016
37,83,27.0,38.0,33044,Halifax,2016
37,85,16.1,20.7,51106,Harnett,2016
37,87,15.9,28.2,45290,Haywood,2016
37,89,12.2,18.9,53638,Henderson,2016
37,91,26.1,34.2,35424,Hertford,2016
37,93,19.5,25.3,46004,Hoke,2016
37,95,22.3,29.7,37881,Hyde,2016
37,97,10.6,14.1,56325,Iredell,2016
37,99,20.9,24.2,44004,Jackson,2016
37,101,13.2,19.2,55174,Johnston,2016
37,103,21.5,36.6,38873,Jones,2016
37,105,16.9,24.2,46723,Lee,2016
37,107,20.6,32.3,39341,Lenoir,2016
37,109,12.7,17.6,50714,Lincoln,2016
37,111,18.4,26.8,41443,McDowell,2016
37,113,16.4,26.4,41140,Macon,2016
37,115,18.8,25.9,40765,Madison,2016
37,117,22.5,35.9,35561,Martin,2016
37,119,12.3,18.1,63197,Mecklenburg,2016
37,121,16.4,25.0,42530,Mitchell,2016
37,123,21.4,30.1,40371,Montgomery,2016
37,125,11.4,16.6,54545,Moore,2016
37,127,16.5,25.1,47403,Nash,2016
37,129,17.3,20.5,51373,New Hanover,2016
37,131,22.4,37.2,35711,Northampton,2016
37,133,13.7,19.1,47163,Onslow,2016
37,135,12.8,11.4,65299,Orange,2016
37,137,18.5,32.2,43927,Pamlico,2016
37,139,17.0,27.2,43687,Pasquotank,2016
37,141,15.0,20.9,50437,Pender,2016
37,143,16.9,28.6,45052,Perquimans,2016
37,145,15.4,23.8,47974,Person,2016
37,147,21.5,24.2,45918,Pitt,2016
37,149,14.5,22.8,47185,Polk,2016
37,151,14.4,20.8,45939,Randolph,2016
37,153,24.9,38.2,35367,Richmond,2016
37,155,27.8,38.3,34439,Robeson,2016
37,157,18.1,27.1,41620,Rockingham,2016
37,159,16.5,26.1,47971,Rowan,2016
37,161,18.6,26.4,38699,Rutherford,2016
37,163,19.6,29.1,41477,Sampson,2016
37,165,27.6,38.7,35138,Scotland,2016
37,167,13.1,20.8,49106,Stanly,2016
37,169,12.4,18.2,48148,Stokes,2016
37,171,17.0,25.3,38843,Surry,2016
37,173,16.7,25.4,38996,Swain,2016
37,175,16.6,30.6,44578,Transylvania,2016
37,177,27.3,38.2,33666,Tyrrell,2016
37,179,9.0,12.1,72548,Union,2016
37,181,24.2,35.9,34717,Vance,2016
37,183,9.2,11.5,76173,Wake,2016
37,185,26.4,39.5,36285,Warren,2016
37,187,26.1,43.2,35367,Washington,2016
37,189,24.3,19.5,44014,Watauga,2016
37,191,20.6,29.2,42421,Wayne,2016
37,193,16.8,25.4,41640,Wilkes,2016
37,195,22.3,35.8,41352,Wilson,2016
37,197,14.0,21.3,46276,Yadkin,2016
37,199,19.1,28.1,39686,Yancey,2016
37,1,14.4,20.6,47914,Alamance,2017
37,3,11.7,16.1,48577,Alexander,2017
37,5,20.9,34.7,38994,Alleghany,2017
37,7,22.2,33.0,41266,Anson,2017
37,9,15.9,25.1,40611,Ashe,2017
37,11,18.6,27.5,40682,Avery,2017
37,13,22.0,31.1,43497,Beaufort,2017
37,15,27.2,39.2,33022,Bertie,2017
37,17,20.7,28.4,38059,Bladen,2017
37,19,11.9,21.5,56227,Brunswick,2017
37,21,11.5,17.6,50271,Buncombe,2017
37,23,16.6,22.1,42179,Burke,2017
37,25,11.1,13.6,62167,Cabarrus,2017
37,27,16.3,22.1,44798,Caldwell,2017
37,29,8.0,10.7,64086,Camden,2017
37,31,13.3,20.9,53192,Carteret,2017
37,33,19.3,28.8,44998,Caswell,2017
37,35,12.5,18.7,53348,Catawba,2017
37,37,10.3,16.0,63373,Chatham,2017
37,39,17.2,28.8,38283,Cherokee,2017
37,41,17.6,29.2,43182,Chowan,2017
37,43,15.4,27.4,43684,Clay,2017
